City,Country,AccentCity,Region, Population ,Latitude,Longitude
cardiff,gb,Cardiff,X5," 302,142 ",51.5,-3.2
brest,by,Brest,1," 300,716 ",52.1,23.7
bradford,gb,Bradford,B4," 299,310 ",53.783333,-1.75
parana,ar,Parana,8," 299,257 ",-31.731967,-60.523802
luzhou,cn,Luzhou,32," 295,056 ",28.872391,105.44049
vina del mar,cl,Vina del Mar,1," 294,553 ",-33.008056,-71.519722
blumenau,br,Blumenau,26," 293,955 ",-26.9222,-49.0615
foz do iguacu,br,Foz do IguaÁu,18," 293,526 ",-25.55,-54.583333
ponta grossa,br,Ponta Grossa,18," 292,179 ",-25.083333,-50.15
bafoussam,cm,Bafoussam,8," 290,798 ",5.4666667,10.4166667
paulista,br,Paulista,30," 289,977 ",-7.95,-34.883333
limeira,br,Limeira,27," 289,671 ",-22.561667,-47.402778
victoria,ca,Victoria,2," 289,625 ",48.433333,-123.35
beihai,cn,Beihai,16," 289,568 ",21.483333,109.1
huizhou,cn,Huizhou,30," 289,201 ",23.083333,114.4
vigo,es,Vigo,58," 286,585 ",42.232823,-8.722637
rangpur,bd,Rangpur,83," 285,586 ",25.75,89.25
viamao,br,Viam„o,23," 285,274 ",-30.083333,-51.033333
ismailia,eg,Ismailia,7," 284,851 ",30.5833333,32.2666667
karlsruhe,de,Karlsruhe,1," 284,786 ",49.004722,8.385833
nantes,fr,Nantes,B5," 284,677 ",47.216509,-1.552379
suzano,br,Suzano,27," 283,319 ",-23.533333,-46.333333
bahia blanca,ar,Bahia Blanca,1," 282,950 ",-38.719595,-62.272432
valparaiso,cl,Valparaiso,1," 282,450 ",-33.047778,-71.601111
itagui,co,Itag¸Ì,2," 281,858 ",6.171944,-75.611389
narsingdi,bd,Narsingdi,81," 281,110 ",23.9208333,90.7180556
chuzhou,cn,Chuzhou,1," 280,582 ",32.321944,118.297778
barisal,bd,Barisal,84," 280,437 ",22.7,90.3666667
windsor,ca,Windsor,8," 278,013 ",42.333333,-83.033333
jujuy,ar,Jujuy,10," 277,150 ",-24.194565,-65.297116
cuenca,ec,Cuenca,2," 276,964 ",-2.8833333,-78.9833333
mokolo,cm,Mokolo,12," 275,750 ",10.7402778,13.8027778
caucaia,br,Caucaia,6," 275,023 ",-3.7,-38.65
kashi,cn,Kashi,13," 274,717 ",39.454722,75.979722
strasbourg,fr,Strasbourg,C1," 273,506 ",48.600381,7.787355
herat,af,Herat,11," 272,880 ",34.348167,62.199673
guantanamo,cu,Guant·namo,10," 272,808 ",20.1444444,-75.2091667
petropolis,br,PetrÛpolis,21," 272,694 ",-22.510833,-43.184444
munster,de,M¸nster,7," 272,452 ",51.966667,7.633333
monteria,co,MonterÌa,12," 272,424 ",8.747984,-75.881428
wiesbaden,de,Wiesbaden,5," 272,337 ",50.083333,8.25
gelsenkirchen,de,Gelsenkirchen,7," 271,647 ",51.516667,7.05
tshikapa,cd,Tshikapa,3," 267,508 ",-6.416667,20.8
halifax,ca,Halifax,7," 266,012 ",44.65,-63.6
yingcheng,cn,Yingcheng,12," 265,886 ",30.95,113.55
wuzhou,cn,Wuzhou,16," 265,846 ",23.483333,111.316667
hulan ergi,cn,Hulan Ergi,8," 265,344 ",47.204167,123.633333
monchengladbach,de,Mˆnchengladbach,7," 264,969 ",51.2,6.433333
mianyang,cn,Mianyang,32," 264,136 ",31.459339,104.754235
gijon,es,GijÛn,34," 262,573 ",43.535731,-5.661519
augsburg,de,Augsburg,2," 261,842 ",48.366667,10.883333
sincelejo,co,Sincelejo,27," 261,190 ",9.304722,-75.397778
tongliao,cn,Tongliao,20," 261,110 ",43.6125,122.265278
wollongong,au,Wollongong,2," 260,918 ",-34.424,150.893448
uberaba,br,Uberaba,15," 260,847 ",-19.75,-47.916667
stoke-on-trent,gb,Stoke-on-Trent,N4," 260,420 ",53,-2.183333
jiujiang,cn,Jiujiang,3," 258,807 ",29.60794,115.887205
jining,cn,Jining,20," 258,757 ",41.0275,113.105833
yining,cn,Yining,13," 257,671 ",43.881111,81.245833
rio branco,br,Rio Branco,1," 257,645 ",-9.966667,-67.8
cascavel,br,Cascavel,18," 257,174 ",-24.95,-53.466667
heze,cn,Heze,25," 254,602 ",35.243056,115.441111
novo hamburgo,br,Novo Hamburgo,23," 253,846 ",-29.683333,-51.133333
zhumadian,cn,Zhumadian,9," 253,536 ",32.979444,114.029444
vitoria da conquista,br,VitÛria da Conquista,5," 253,144 ",-14.85,-40.85
laohekou,cn,Laohekou,12," 253,112 ",32.385833,111.667778
talcahuano,cl,Talcahuano,6," 252,969 ",-36.716667,-73.116667
wolverhampton,gb,Wolverhampton,Q3," 252,792 ",52.583333,-2.133333
dire dawa,et,Dire Dawa,48," 252,347 ",9.593056,41.866111
floridablanca,co,Floridablanca,26," 252,271 ",7.062222,-73.08644
suihua,cn,Suihua,8," 252,245 ",46.640556,126.996944
barueri,br,Barueri,27," 251,999 ",-23.516667,-46.883333
taubate,br,TaubatÈ,27," 251,647 ",-23.033333,-45.55
nanyang,cn,Nanyang,9," 251,532 ",32.994722,112.532778
aachen,de,Aachen,7," 251,104 ",50.770833,6.105278
governador valadares,br,Governador Valadares,15," 250,882 ",-18.85,-41.933333
santa clara,cu,Santa Clara,16," 250,518 ",22.1666667,-79.7666667
praia grande,br,Praia Grande,27," 250,032 ",-24,-46.4
san bernardo,cl,San Bernardo,12," 249,856 ",-33.6,-70.716667
varzea grande,br,V·rzea Grande,14," 249,766 ",-15.65,-56.133333
volta redonda,br,Volta Redonda,21," 249,584 ",-22.533333,-44.116667
santa maria,br,Santa Maria,23," 249,224 ",-29.683333,-53.8
ganzhou,cn,Ganzhou,3," 249,071 ",25.85,114.933333
granada,es,Granada,51," 248,942 ",37.178354,-3.599201
formosa,ar,Formosa,9," 248,756 ",-26.177534,-58.178139
palmira,co,Palmira,29," 247,991 ",3.539444,-76.303611
oshawa,ca,Oshawa,8," 247,989 ",43.9,-78.866667
plymouth,gb,Plymouth,K4," 247,298 ",50.396389,-4.138611
nottingham,gb,Nottingham,J8," 246,655 ",52.966667,-1.166667
chemnitz,de,Chemnitz,13," 246,654 ",50.833333,12.916667
rizhao,cn,Rizhao,25," 246,387 ",35.390278,119.545833
southampton,gb,Southampton,M4," 246,201 ",50.9,-1.4
brunswick,de,Brunswick,6," 245,259 ",52.266667,10.533333
hebi,cn,Hebi,9," 244,662 ",35.899167,114.1925
reading,gb,Reading,K7," 244,071 ",51.433333,-1
santa luzia,br,Santa Luzia,15," 243,506 ",-19.783333,-43.866667
yibin,cn,Yibin,32," 242,111 ",28.699702,104.549173
aswan,eg,Aswan,16," 241,282 ",24.0875,32.8988889
buenaventura,co,Buenaventura,29," 240,391 ",3.880099,-77.031164
krefeld,de,Krefeld,7," 239,908 ",51.333333,6.566667
xiantao,cn,Xiantao,12," 239,406 ",30.383333,113.4
montpellier,fr,Montpellier,A9," 238,887 ",43.61092,3.87723
gravatai,br,GravataÌ,23," 238,782 ",-29.9426,-50.9933
temuco,cl,Temuco,4," 238,131 ",-38.733333,-72.6
a coruna,es,A CoruÒa,58," 236,010 ",43.366609,-8.406812
yuci,cn,Yuci,24," 235,929 ",37.680278,112.731944
qena,eg,Qena,23," 235,390 ",26.17,32.7272222
caruaru,br,Caruaru,30," 235,375 ",-8.283333,-35.966667
kiel,de,Kiel,10," 235,264 ",54.333333,10.133333
boa vista,br,Boa Vista,25," 235,159 ",2.816667,-60.666667
derby,gb,Derby,D2," 235,029 ",52.933333,-1.5
linfen,cn,Linfen,24," 232,566 ",36.088889,111.518889
halle,de,Halle,14," 232,452 ",51.5,12
gent,be,Gent,8," 231,493 ",51.05,3.716667
ngaoundere,cm,NgaoundÈrÈ,10," 231,376 ",7.3166667,13.5833333
sao jose dos pinhais,br,S„o JosÈ dos Pinhais,18," 229,988 ",-25.516667,-49.216667
espoo,fi,Espoo,13," 229,528 ",60.216667,24.666667
ipatinga,br,Ipatinga,15," 228,750 ",-19.5,-42.533333
sumare,br,SumarÈ,27," 227,982 ",-22.8,-47.283333
nassau,bs,Nassau,23," 227,936 ",25.0833333,-77.35
iquique,cl,Iquique,15," 227,501 ",-20.22083,-70.14306
liaocheng,cn,Liaocheng,25," 226,930 ",36.443889,115.964722
arhus,dk,≈rhus,18," 226,716 ",56.153423,10.22553
ranghulu,cn,Ranghulu,8," 226,298 ",46.65,124.866667
huambo,ao,Huambo,8," 226,177 ",-12.776111,15.739167
bukavu,cd,Bukavu,12," 225,431 ",-2.508333,28.860833
juazeiro do norte,br,Juazeiro do Norte,6," 225,234 ",-7.2,-39.333333
tianmen,cn,Tianmen,12," 224,871 ",30.65,113.1
sucre,bo,Sucre,1," 224,846 ",-19.0430556,-65.2591667
vitoria,es,Vitoria,59," 224,774 ",42.85,-2.666667
magdeburg,de,Magdeburg,14," 224,428 ",52.166667,11.666667
narayanganj,bd,Narayanganj,81," 223,773 ",23.6233333,90.5011111
tongchuan,cn,Tongchuan,26," 223,603 ",34.898799,108.950562
xintai,cn,Xintai,25," 222,459 ",35.900556,117.751944
badalona,es,Badalona,56," 222,413 ",41.447145,2.244789
graz,at,Graz,6," 222,326 ",47.066667,15.45
embu,br,Embu,27," 221,737 ",-23.65,-46.85
banja luka,ba,Banja Luka,2," 221,100 ",44.7758333,17.1855556
oberhausen,de,Oberhausen,7," 220,916 ",51.466667,6.85
wuxue,cn,Wuxue,12," 220,661 ",29.850578,115.552504
bordeaux,fr,Bordeaux,97," 219,311 ",44.840439,-0.5805
serekunda,gm,Serekunda,5," 218,790 ",13.4425,-16.6813889
haibowan,cn,Haibowan,20," 218,427 ",39.664722,106.812222
bertoua,cm,Bertoua,4," 218,217 ",4.5833333,13.6833333
imperatriz,br,Imperatriz,13," 218,110 ",-5.533333,-47.483333
san pedro de macoris,do,San Pedro de MacorÌs,24," 217,901 ",18.45,-69.3
daloa,ci,Daloa,80," 217,876 ",6.877355,-6.450221
colombo,br,Colombo,18," 217,002 ",-25.283333,-49.233333
mage,br,MagÈ,21," 216,342 ",-22.655556,-43.015278
concepcion,cl,Concepcion,6," 215,414 ",-36.833333,-73.05
taboao da serra,br,Tabo„o da Serra,27," 214,527 ",-23.6,-46.766667
nazret,et,Nazret,51," 214,034 ",8.55,39.266667
freiburg,de,Freiburg,1," 213,920 ",48,7.85
catamarca,ar,Catamarca,2," 213,601 ",-28.469574,-65.785239
guangyuan,cn,Guangyuan,32," 213,365 ",32.442015,105.822996
rennes,fr,Rennes,A2," 213,334 ",48.111981,-1.674291
lubeck,de,L¸beck,10," 213,171 ",53.866667,10.7
jacarei,br,JacareÌ,27," 213,114 ",-23.316667,-45.966667
rancagua,cl,Rancagua,8," 212,696 ",-34.17083,-70.74444
mostoles,es,MÛstoles,29," 212,504 ",40.320923,-3.862849
marilia,br,MarÌlia,27," 212,222 ",-22.216667,-49.933333
hailar,cn,Hailar,20," 211,066 ",49.2,119.7
daliang,cn,Daliang,30," 210,411 ",22.850416,113.247006
shuangyashan,cn,Shuangyashan,8," 209,521 ",46.636111,131.153889
presidente prudente,br,Presidente Prudente,27," 209,507 ",-22.116667,-51.366667
sanming,cn,Sanming,7," 209,444 ",26.248611,117.618611
sohag,eg,Sohag,22," 209,440 ",26.55,31.7
sao leopoldo,br,S„o Leopoldo,23," 209,233 ",-29.766667,-51.15
oruro,bo,Oruro,5," 208,687 ",-17.9833333,-67.15
la romana,do,La Romana,12," 208,439 ",18.4166667,-68.9666667
gaborone,bw,Gaborone,9," 208,411 ",-24.6463889,25.9119444
hangu,cn,Hangu,28," 208,369 ",39.248889,117.789167
lobito,ao,Lobito,1," 207,957 ",-12.319722,13.599722
dinajpur,bd,Dinajpur,83," 206,251 ",25.6333333,88.6333333
itabuna,br,Itabuna,5," 205,666 ",-14.8,-39.266667
suzhou,cn,Suzhou,1," 205,130 ",33.636111,116.978889
sao carlos,br,S„o Carlos,27," 205,039 ",-22.016667,-47.9
hobart,au,Hobart,6," 204,863 ",-42.883209,147.331665
nanchong,cn,Nanchong,32," 204,368 ",30.775757,106.102938
las tunas,cu,Las Tunas,13," 203,690 ",20.9616667,-76.9511111
hortolandia,br,Hortol‚ndia,27," 203,537 ",-22.85,-47.25
edea,cm,EdÈa,5," 203,170 ",3.8,10.1333333
sao jose,br,S„o JosÈ,26," 203,142 ",-27.633333,-48.65
djougou,bj,Djougou,13," 202,834 ",9.705,1.6669444
tampere,fi,Tampere,15," 202,688 ",61.5,23.75
yiyang,cn,Yiyang,11," 202,608 ",28.589167,112.328333
linxia,cn,Linxia,15," 202,402 ",35.600278,103.206389
fuenlabrada,es,Fuenlabrada,29," 202,088 ",40.284189,-3.794147
mossoro,br,MossorÛ,22," 202,010 ",-5.191389,-37.344722
cartagena,es,Cartagena,31," 201,977 ",37.605121,-0.986232
yuncheng,cn,Yuncheng,24," 201,950 ",35.023056,110.992778
itapevi,br,Itapevi,27," 201,752 ",-23.55,-46.933333
sete lagoas,br,Sete Lagoas,15," 201,337 ",-19.45,-44.233333
yamoussoukro,ci,Yamoussoukro,81," 200,659 ",6.820548,-5.276741
santo domingo,ec,Santo Domingo,18," 200,421 ",-0.25,-79.15
