City,Country,AccentCity,Region, Population ,Latitude,Longitude
brazzaville,cg,Brazzaville,12," 1,115,773 ",-4.2591667,15.2847222
wuxi,cn,Wuxi,4," 1,108,647 ",31.568873,120.288573
yerevan,am,Yerevan,11," 1,093,499 ",40.1811111,44.5136111
copenhagen,dk,Copenhagen,17," 1,089,958 ",55.666667,12.583333
adelaide,au,Adelaide,5," 1,074,168 ",-34.928661,138.598633
sofia,bg,Sofia,42," 1,062,065 ",42.6833333,23.3166667
datong,cn,Datong,24," 1,052,678 ",40.093611,113.291389
tbilisi,ge,Tbilisi,19," 1,049,516 ",41.725,44.7908333
xianyang,cn,Xianyang,26," 1,034,081 ",34.33778,108.70261
campinas,br,Campinas,27," 1,031,573 ",-22.9,-47.083333
ouagadougou,bf,Ouagadougou,53," 1,031,330 ",12.3702778,-1.5247222
huainan,cn,Huainan,1," 1,027,655 ",32.626389,116.996944
kunming,cn,Kunming,29," 1,023,674 ",25.038889,102.718333
brussels,be,Brussels,11," 1,019,022 ",50.833333,4.333333
shenzhen,cn,Shenzhen,30," 1,002,592 ",22.533333,114.133333
nova iguacu,br,Nova IguaÁu,21," 1,002,129 ",-22.759188,-43.431887
rongcheng,cn,Rongcheng,30," 1,001,985 ",23.528858,116.364159
baoding,cn,Baoding,10," 995,652 ",38.851111,115.490278
benxi,cn,Benxi,19," 987,717 ",41.288611,123.765
birmingham,gb,Birmingham,A7," 984,336 ",52.466667,-1.916667
mendoza,ar,Mendoza,13," 973,047 ",-32.890845,-68.827171
cologne,de,Cologne,7," 968,823 ",50.933333,6.95
calgary,ca,Calgary,1," 968,475 ",51.083333,-114.083333
maceio,br,MaceiÛ,2," 955,010 ",-9.666667,-35.716667
cartagena,co,Cartagena,35," 952,036 ",10.399722,-75.514444
changzhou,cn,Changzhou,4," 949,018 ",31.783333,119.966667
sao goncalo,br,S„o GonÁalo,21," 939,101 ",-22.800278,-43.025556
sao luis,br,S„o LuÌs,13," 917,252 ",-2.516667,-44.266667
huaibei,cn,Huaibei,1," 903,039 ",33.974444,116.791667
cochabamba,bo,Cochabamba,2," 900,440 ",-17.3833333,-66.15
pingdingshan,cn,Pingdingshan,9," 889,675 ",33.738472,113.301194
qiqihar,cn,Qiqihar,8," 882,364 ",47.340833,123.967222
mbuji-mayi,cd,Mbuji-Mayi,4," 874,974 ",-6.15,23.6
ottawa,ca,Ottawa,8," 874,433 ",45.416667,-75.7
wenzhou,cn,Wenzhou,2," 865,672 ",27.999416,120.66682
tucuman,ar,Tucuman,24," 828,402 ",-26.824144,-65.2226
